,province,hot,num,level_sum
0,上海,40.60000000000001,32092,194
1,云南,69.16000000000003,26681,195
2,内蒙古,45.32000000000001,7980,195
3,北京,71.08000000000008,67557,195
4,台湾,38.720000000000006,11548,195
5,吉林,36.519999999999996,6720,195
6,四川,58.560000000000045,61103,196
7,天津,31.29999999999999,9182,195
8,宁夏,47.08000000000001,4113,195
9,安徽,63.340000000000025,31569,195
10,山东,66.68000000000002,19521,196
11,山西,63.96000000000002,16259,195
12,广东,67.82000000000001,32175,206
13,广西,66.02000000000001,27169,195
14,新疆,61.04000000000003,9840,195
15,江苏,69.64000000000003,32463,195
16,江西,45.82,20988,195
17,河北,66.53999999999999,11250,195
18,河南,74.79999999999998,22689,195
19,浙江,67.48000000000002,31096,197
20,海南,28.21999999999999,36238,195
21,湖北,57.440000000000026,16749,195
22,湖南,59.600000000000044,25521,196
23,澳门,46.76000000000002,5997,188
24,甘肃,71.42000000000003,11630,195
25,福建,53.08000000000002,23112,195
26,西藏,66.06000000000009,7060,195
27,贵州,54.22000000000001,14424,195
28,辽宁,55.860000000000014,20561,195
29,重庆,37.32,17915,195
30,陕西,55.94000000000003,35564,197
31,青海,53.980000000000025,7140,195
32,香港,33.95999999999998,14166,185
33,黑龙江,32.68,15190,195
